QUERIES	Number of Overlapping Results	Percent Overlap	Spearman Coefficient
QUERY  1 	 2 	 20.0 %	 -9.0
QUERY  2 	 2 	 20.0 %	 -7.0
QUERY  3 	 1 	 10.0 %	 0
QUERY  4 	 3 	 30.0 %	 -16.25
QUERY  5 	 2 	 20.0 %	 -9.0
QUERY  6 	 1 	 10.0 %	 0
QUERY  7 	 2 	 20.0 %	 -25.0
QUERY  8 	 3 	 30.0 %	 -11.75
QUERY  9 	 4 	 40.0 %	 -5.2
QUERY  10 	 0 	 0.0 %	 0
QUERY  11 	 4 	 40.0 %	 -2.1
QUERY  12 	 2 	 20.0 %	 -33.0
QUERY  13 	 1 	 10.0 %	 0
QUERY  14 	 1 	 10.0 %	 0
QUERY  15 	 0 	 0.0 %	 0
QUERY  16 	 2 	 20.0 %	 -36.0
QUERY  17 	 4 	 40.0 %	 -0.3999999999999999
QUERY  18 	 2 	 20.0 %	 -49.0
QUERY  19 	 1 	 10.0 %	 0
QUERY  20 	 0 	 0.0 %	 0
QUERY  21 	 2 	 20.0 %	 -64.0
QUERY  22 	 0 	 0.0 %	 0
QUERY  23 	 4 	 40.0 %	 -7.300000000000001
QUERY  24 	 2 	 20.0 %	 -4.0
QUERY  25 	 2 	 20.0 %	 -35.0
QUERY  26 	 1 	 10.0 %	 0
QUERY  27 	 2 	 20.0 %	 -1.0
QUERY  28 	 5 	 50.0 %	 -4.5
QUERY  29 	 1 	 10.0 %	 0
QUERY  30 	 2 	 20.0 %	 -4.0
QUERY  31 	 5 	 50.0 %	 -2.9
QUERY  32 	 2 	 20.0 %	 -9.0
QUERY  33 	 4 	 40.0 %	 -6.5
QUERY  34 	 4 	 40.0 %	 0.09999999999999998
QUERY  35 	 1 	 10.0 %	 0
QUERY  36 	 1 	 10.0 %	 0
QUERY  37 	 1 	 10.0 %	 0
QUERY  38 	 1 	 10.0 %	 0
QUERY  39 	 1 	 10.0 %	 1
QUERY  40 	 3 	 30.0 %	 0.5
QUERY  41 	 4 	 40.0 %	 -2.8
QUERY  42 	 4 	 40.0 %	 -2.9
QUERY  43 	 0 	 0.0 %	 0
QUERY  44 	 4 	 40.0 %	 -5.6
QUERY  45 	 4 	 40.0 %	 -5.6
QUERY  46 	 3 	 30.0 %	 -1.0
QUERY  47 	 1 	 10.0 %	 0
QUERY  48 	 5 	 50.0 %	 -1.7000000000000002
QUERY  49 	 6 	 60.0 %	 -0.6857142857142857
QUERY  50 	 3 	 30.0 %	 -3.75
QUERY  51 	 1 	 10.0 %	 0
QUERY  52 	 3 	 30.0 %	 -6.25
QUERY  53 	 2 	 20.0 %	 1.0
QUERY  54 	 2 	 20.0 %	 -4.0
QUERY  55 	 2 	 20.0 %	 -3.0
QUERY  56 	 7 	 70.0 %	 0.5
QUERY  57 	 2 	 20.0 %	 -52.0
QUERY  58 	 3 	 30.0 %	 -8.5
QUERY  59 	 4 	 40.0 %	 -3.2
QUERY  60 	 1 	 10.0 %	 0
QUERY  61 	 1 	 10.0 %	 0
QUERY  62 	 3 	 30.0 %	 -24.25
QUERY  63 	 4 	 40.0 %	 -4.7
QUERY  64 	 3 	 30.0 %	 -8.25
QUERY  65 	 1 	 10.0 %	 0
QUERY  66 	 4 	 40.0 %	 0.0
QUERY  67 	 2 	 20.0 %	 -3.0
QUERY  68 	 4 	 40.0 %	 -6.5
QUERY  69 	 1 	 10.0 %	 0
QUERY  70 	 3 	 30.0 %	 -11.5
QUERY  71 	 5 	 50.0 %	 -1.15
QUERY  72 	 0 	 0.0 %	 0
QUERY  73 	 0 	 0.0 %	 0
QUERY  74 	 3 	 30.0 %	 -5.5
QUERY  75 	 5 	 50.0 %	 -1.5499999999999998
QUERY  76 	 4 	 40.0 %	 -3.0
QUERY  77 	 3 	 30.0 %	 -12.0
QUERY  78 	 0 	 0.0 %	 0
QUERY  79 	 3 	 30.0 %	 -9.25
QUERY  80 	 4 	 40.0 %	 -4.1
QUERY  81 	 3 	 30.0 %	 -3.0
QUERY  82 	 1 	 10.0 %	 0
QUERY  83 	 1 	 10.0 %	 1
QUERY  84 	 1 	 10.0 %	 0
QUERY  85 	 0 	 0.0 %	 0
QUERY  86 	 1 	 10.0 %	 1
QUERY  87 	 2 	 20.0 %	 1.0
QUERY  88 	 2 	 20.0 %	 -57.0
QUERY  89 	 3 	 30.0 %	 -3.25
QUERY  90 	 4 	 40.0 %	 -1.6
QUERY  91 	 2 	 20.0 %	 -16.0
QUERY  92 	 4 	 40.0 %	 -5.6
QUERY  93 	 1 	 10.0 %	 0
QUERY  94 	 4 	 40.0 %	 -4.8
QUERY  95 	 5 	 50.0 %	 -1.65
QUERY  96 	 5 	 50.0 %	 0.30000000000000004
QUERY  97 	 1 	 10.0 %	 0
QUERY  98 	 2 	 20.0 %	 -4.0
QUERY  99 	 3 	 30.0 %	 -4.0
QUERY  100 	 2 	 20.0 %	 -57.0
AVERAGE	 2.42 	 24.2 %	 -6.891357142857143
